iter	TotalF1	MultiClass
0	0.2889720704	2.172203303
1	0.3186490968	2.079064416
2	0.3311927315	2.003876919
3	0.3445868163	1.943943789
4	0.3504011233	1.896018099
5	0.3565481092	1.853955929
6	0.371002529	1.811725862
7	0.37384498	1.780322619
8	0.3775413095	1.751923092
9	0.3839217969	1.722915324
10	0.3854037041	1.701351193
11	0.3905552909	1.680722501
12	0.3967477652	1.659329023
13	0.4013904336	1.642174168
14	0.4064510585	1.624248355
15	0.4086070426	1.607954662
16	0.4124027298	1.59210186
17	0.42346659	1.573701451
18	0.4265800951	1.560660343
19	0.4296090428	1.551963648
20	0.4309477309	1.541959611
21	0.4310276705	1.53604395
22	0.4348313211	1.525324522
23	0.4364117939	1.516590247
24	0.4395612083	1.508112992
25	0.441619824	1.500386733
26	0.44255677	1.492845784
27	0.4456195998	1.484465239
28	0.4488320321	1.478058311
29	0.4492330174	1.469411066
30	0.4520850576	1.463360954
31	0.4525354914	1.457903433
32	0.4582673471	1.450252763
33	0.4595241456	1.445213363
34	0.4606696325	1.440790066
35	0.4611693805	1.435038574
36	0.4636339677	1.429919795
37	0.4647924509	1.425470594
38	0.466576533	1.421047054
39	0.4674851773	1.417109637
40	0.468288786	1.412012849
41	0.4700867668	1.408714511
42	0.4725813104	1.405160753
43	0.4731633181	1.402129697
44	0.4741820611	1.398092059
45	0.478222125	1.391023916
46	0.4796439509	1.386028712
47	0.4805793555	1.383182911
48	0.4809122165	1.380245674
49	0.4813141158	1.375659695
50	0.4817642786	1.37234707
51	0.4838861203	1.369388257
52	0.4844564671	1.36629735
53	0.4841586971	1.364836253
54	0.4849938374	1.362052273
55	0.4855905119	1.358693499
56	0.4866431498	1.355285771
57	0.4869850811	1.353055326
58	0.4887355039	1.35065952
59	0.4880084343	1.348215212
60	0.4887879959	1.34601033
61	0.4892490012	1.343716879
62	0.4899472054	1.341034446
63	0.4908880792	1.338089072
64	0.4916911231	1.336070964
65	0.4928930588	1.332833472
66	0.4936795354	1.330400541
67	0.4947493899	1.327403108
68	0.4956960183	1.325139121
69	0.4974836464	1.322259893
70	0.4981908766	1.320149984
71	0.4981711875	1.319278288
72	0.4987937347	1.318020303
73	0.4993704151	1.316123975
74	0.4998722444	1.313979367
75	0.5009375975	1.312089226
76	0.5016460678	1.309882883
77	0.5028831138	1.307069467
78	0.5026545906	1.304870493
79	0.5032843365	1.302548898
80	0.5062456199	1.29963294
81	0.5103813221	1.296814881
82	0.5116416018	1.290968391
83	0.5130283728	1.288135362
84	0.5125931303	1.285187549
85	0.5136493957	1.283731088
86	0.5158820403	1.280968739
87	0.5180967086	1.277892092
88	0.5187367892	1.27606853
89	0.5191502945	1.27468311
90	0.5195610741	1.272729704
91	0.5207832684	1.270219244
92	0.5216941747	1.268856459
93	0.5222057041	1.266919996
94	0.5245572114	1.262179759
95	0.5244008253	1.258364131
96	0.5258283461	1.256331746
97	0.5261912587	1.254751565
98	0.5275135154	1.253554704
99	0.5291674664	1.251163158
100	0.5311290088	1.249160806
101	0.5307730968	1.247753402
102	0.5310280512	1.24609818
103	0.5322471207	1.244035638
104	0.5321610719	1.241891167
105	0.5328075647	1.240986469
106	0.533669996	1.238970999
107	0.5332175171	1.237915414
108	0.5358072325	1.234768457
109	0.53737107	1.231251993
110	0.5386678157	1.229908332
111	0.5401654868	1.22781431
112	0.5406570919	1.225970192
113	0.5418728421	1.223305003
114	0.5429963967	1.221871927
115	0.544160057	1.220261508
116	0.5447722308	1.218649724
117	0.5457843904	1.217102595
118	0.5459683775	1.2149393
119	0.5473951814	1.21311469
120	0.5482692577	1.211779234
121	0.5484481704	1.210481445
122	0.5494260462	1.208291454
123	0.5498549904	1.207188815
124	0.5518133583	1.204025831
125	0.5533613373	1.200816551
126	0.5539431056	1.199823969
127	0.5543432307	1.198362305
128	0.5545528662	1.196722301
129	0.5556988317	1.19525717
130	0.5566157352	1.193427867
131	0.5569108171	1.192330142
132	0.5576903344	1.18927359
133	0.5581196519	1.188401935
134	0.5589357594	1.187251023
135	0.5594361838	1.18620321
136	0.5600763423	1.184651982
137	0.5600293795	1.183339094
138	0.5607426971	1.182229436
139	0.5619573693	1.181102491
140	0.5620655632	1.180315335
141	0.5627674845	1.178799129
142	0.5629611074	1.17774833
143	0.5635462806	1.1763829
144	0.5641150378	1.175362872
145	0.5644615217	1.174461895
146	0.564535869	1.173384898
147	0.565251992	1.172400712
148	0.56653905	1.171361456
149	0.5669853658	1.170594321
150	0.567629837	1.169261933
151	0.5683497416	1.168099194
152	0.568028633	1.167289211
153	0.5689428571	1.166032536
154	0.5693458471	1.164153996
155	0.5711904444	1.162402635
156	0.5714868946	1.161975483
157	0.5718548074	1.160744054
158	0.5727203652	1.159910296
159	0.5727263855	1.158846921
160	0.5751418489	1.157376222
161	0.5753905199	1.156313067
162	0.5757716646	1.155379992
163	0.5758396804	1.154353642
164	0.5766994634	1.153212154
165	0.5773834111	1.150988384
166	0.5773487923	1.149840543
167	0.5784893477	1.148906849
168	0.5790234945	1.146665371
169	0.5798480965	1.145765928
170	0.5806232096	1.144056596
171	0.5801657434	1.142703543
172	0.5813446638	1.141399319
173	0.5824116334	1.140036895
174	0.5837685206	1.138578073
175	0.5845337831	1.137864503
176	0.5844878033	1.136824272
177	0.5847033696	1.13516715
178	0.5843264619	1.133697985
179	0.5842857139	1.132893748
180	0.5853811806	1.131032387
181	0.5854397579	1.130657476
182	0.5864758592	1.129293393
183	0.5870960501	1.128200404
184	0.5866445231	1.12731821
185	0.5876247102	1.125942628
186	0.5882694065	1.125301641
187	0.5889491972	1.12342089
188	0.5892046973	1.122687644
189	0.589237987	1.121575736
190	0.5904961376	1.120527092
191	0.5908955471	1.119849684
192	0.59073645	1.118670995
193	0.591991493	1.117501842
194	0.5933548599	1.116428751
195	0.5943348897	1.115362626
196	0.594702621	1.114512745
197	0.5952022366	1.113955075
198	0.595788389	1.112769508
199	0.5956728258	1.112159616
200	0.5961793658	1.111053951
201	0.5967908812	1.10997887
202	0.596465309	1.108955115
203	0.5968330426	1.107122143
204	0.5971723256	1.105999084
205	0.5985300105	1.103296328
206	0.5992535814	1.102855349
207	0.5998142246	1.101102693
208	0.5993992172	1.099968251
209	0.5999885246	1.099114527
210	0.6009755231	1.098015578
211	0.6020174434	1.097026315
212	0.6032682494	1.095757351
213	0.6047589135	1.094406742
214	0.6050701255	1.093689421
215	0.6055296282	1.092655222
216	0.606641866	1.0909872
217	0.6070204567	1.090219351
218	0.6074205202	1.089646257
219	0.6075362161	1.088779953
220	0.6081689979	1.088077232
