iter	Passed	Remaining
0	140	140431
1	269	134584
2	396	131622
3	533	132811
4	674	134223
5	804	133294
6	982	139338
7	1116	138458
8	1250	137653
9	1378	136457
10	1506	135447
11	1642	135245
12	1774	134718
13	1923	135466
14	2079	136561
15	2234	137438
16	2381	137679
17	2529	138014
18	2699	139360
19	2828	138576
20	2983	139078
21	3117	138577
22	3242	137756
23	3370	137068
24	3494	136292
25	3629	135964
26	3758	135460
27	3889	135022
28	4024	134747
29	4173	134950
30	4316	134918
31	4451	134671
32	4596	134694
33	4737	134586
34	4863	134086
35	4987	133564
36	5114	133123
37	5240	132674
38	5368	132282
39	5501	132024
40	5635	131808
41	5758	131345
42	5883	130943
43	6009	130559
44	6138	130276
45	6264	129928
46	6394	129659
47	6516	129249
48	6653	129122
49	6781	128845
50	6906	128514
51	7037	128303
52	7162	127982
53	7286	127646
54	7412	127368
55	7539	127089
56	7680	127066
57	7807	126804
58	7936	126572
59	8062	126307
60	8189	126068
61	8314	125796
62	8441	125547
63	8576	125430
64	8707	125253
65	8838	125074
66	8967	124870
67	9097	124695
68	9236	124624
69	9371	124512
70	9501	124320
71	9547	123051
72	9678	122903
73	9805	122704
74	9931	122486
75	10057	122277
76	10186	122102
77	10317	121956
78	10448	121805
79	10578	121654
80	10714	121566
81	10846	121425
82	10973	121242
83	11107	121125
84	11242	121023
85	11365	120791
86	11491	120598
87	11632	120554
88	11757	120351
89	11886	120187
90	12016	120034
91	12147	119893
92	12285	119815
93	12420	119709
94	12562	119679
95	12704	119637
96	12836	119501
97	13022	119862
98	13226	120373
99	13433	120903
100	13632	121340
101	13810	121587
102	14080	122623
103	14273	122971
104	14466	123306
105	14664	123677
106	14923	124546
107	15107	124780
108	15293	125011
109	15531	125663
110	15747	126125
111	15931	126313
112	16119	126530
113	16310	126767
114	16499	126973
115	16696	127238
116	16889	127464
117	17075	127630
118	17256	127758
119	17440	127899
120	17645	128185
121	17831	128331
122	18023	128508
123	18210	128650
124	18402	128814
125	18596	128994
126	18779	129091
127	18968	129223
128	19154	129327
129	19313	129252
130	19470	129160
131	19644	129175
132	19802	129090
133	19958	128986
134	20097	128775
135	20226	128499
136	20356	128229
137	20493	128011
138	20642	127867
139	20777	127633
140	20918	127439
141	21064	127279
142	21209	127109
143	21329	126790
144	21456	126519
145	21576	126207
146	21712	125990
147	21839	125725
148	21961	125429
149	22083	125140
150	22213	124897
151	22343	124653
152	22469	124391
153	22607	124193
154	22741	123978
155	22871	123740
156	23004	123519
157	23132	123277
158	23255	123002
159	23382	122758
160	23517	122553
161	23657	122376
162	23788	122152
163	23911	121892
164	24045	121683
165	24176	121466
166	24316	121289
167	24452	121096
168	24586	120895
169	24727	120727
170	24865	120547
171	25008	120391
172	25145	120203
173	25283	120021
174	25422	119847
175	25555	119646
176	25694	119472
177	25833	119296
178	25972	119123
179	26110	118949
180	26245	118759
181	26372	118531
182	26500	118311
183	26638	118134
184	26762	117898
185	26891	117688
186	27016	117455
187	27146	117249
188	27271	117021
189	27400	116812
190	27529	116604
191	27669	116441
192	27796	116228
193	27926	116025
194	28053	115811
195	28183	115610
196	28308	115388
197	28433	115171
198	28568	114990
199	28695	114780
200	28824	114582
201	28953	114382
202	29094	114227
203	29226	114039
204	29369	113895
205	29508	113735
206	29651	113591
207	29790	113432
208	29931	113282
209	30074	113136
210	30205	112947
211	30337	112764
212	30469	112579
213	30608	112423
214	30733	112214
215	30862	112020
216	30997	111846
217	31123	111646
218	31252	111453
219	31379	111253
220	31505	111053
221	31643	110895
222	31772	110706
223	31897	110502
224	32027	110316
225	32162	110148
226	32290	109959
227	32424	109786
228	32567	109647
229	32699	109472
230	32835	109309
231	32962	109116
232	33097	108953
233	33219	108745
234	33350	108566
235	33472	108359
236	33612	108212
237	33743	108037
238	33870	107846
239	33996	107656
240	34130	107489
241	34258	107305
242	34390	107132
243	34519	106953
244	34656	106799
245	34789	106629
246	34918	106451
247	35044	106263
248	35180	106106
249	35312	105938
250	35443	105764
251	35583	105619
252	35709	105433
253	35838	105258
254	35968	105083
255	36096	104904
256	36225	104730
257	36361	104574
258	36483	104379
259	36624	104240
260	36754	104066
261	36884	103896
262	37019	103738
263	37155	103585
264	37286	103417
265	37427	103278
266	37574	103155
267	37720	103026
268	37858	102879
269	38010	102769
270	38145	102614
271	38273	102438
272	38407	102278
273	38529	102089
274	38668	101945
275	38794	101765
276	38926	101602
277	39058	101439
278	39187	101269
279	39318	101105
280	39451	100946
281	39594	100812
282	39718	100630
283	39847	100461
284	39972	100282
285	40101	100114
286	40226	99936
287	40355	99766
288	40484	99601
289	40615	99438
290	40741	99264
291	40869	99095
292	40999	98931
293	41127	98762
294	41261	98609
295	41391	98445
296	41520	98278
297	41651	98117
298	41778	97947
299	41900	97767
300	42023	97589
301	42150	97421
302	42287	97274
303	42417	97113
304	42567	96997
305	42700	96844
306	42839	96702
307	42966	96535
308	43095	96372
309	43221	96202
310	43349	96037
311	43482	95884
312	43620	95741
313	43751	95583
314	43879	95420
315	44009	95261
316	44139	95101
317	44264	94931
318	44388	94759
319	44529	94624
320	44672	94494
321	44802	94336
322	44927	94166
323	45054	94003
324	45187	93850
325	45319	93698
326	45445	93532
327	45587	93399
328	45718	93243
329	45848	93085
330	45979	92932
331	46108	92772
332	46240	92619
333	46368	92458
334	46500	92307
335	46635	92161
336	46767	92007
337	46892	91841
338	47022	91686
339	47154	91535
340	47284	91379
341	47406	91208
342	47540	91062
343	47684	90933
344	47814	90778
345	47945	90624
346	48076	90471
347	48212	90329
348	48343	90176
349	48472	90019
350	48610	89881
351	48748	89741
352	48873	89578
353	49001	89421
354	49129	89263
355	49261	89113
356	49393	88964
357	49528	88818
358	49665	88677
359	49798	88530
360	49919	88361
361	50051	88211
362	50180	88057
363	50311	87907
364	50445	87761
365	50585	87626
366	50716	87474
367	50856	87340
368	50991	87196
369	51121	87045
370	51246	86883
371	51374	86729
372	51507	86581
373	51645	86443
374	51772	86288
375	51914	86156
376	52043	86003
377	52169	85844
378	52298	85692
379	52430	85545
380	52573	85415
381	52712	85278
382	52836	85117
383	52985	84997
384	53116	84848
385	53249	84702
386	53378	84550
387	53516	84411
388	53655	84275
389	53792	84136
390	53924	83990
391	54055	83841
392	54187	83694
393	54317	83544
394	54447	83393
395	54582	83252
396	54706	83093
397	54828	82931
398	54963	82789
399	55089	82634
400	55220	82485
401	55355	82345
402	55492	82206
403	55641	82084
404	55768	81931
405	55889	81769
406	56017	81618
407	56147	81468
408	56277	81320
409	56404	81167
410	56537	81022
411	56673	80883
412	56801	80732
413	56923	80572
414	57044	80412
415	57180	80272
416	57310	80125
417	57441	79978
418	57578	79840
419	57711	79696
420	57843	79551
421	57972	79402
422	58100	79252
423	58236	79113
424	58366	78966
425	58496	78819
426	58637	78687
427	58765	78536
428	58895	78390
429	59027	78246
430	59154	78094
431	59333	78012
432	59480	77888
433	59621	77755
434	59751	77607
435	59880	77460
436	60007	77309
437	60137	77162
438	60265	77012
439	60394	76865
440	60533	76730
441	60670	76593
442	60804	76452
443	60938	76310
444	61067	76162
445	61199	76018
446	61341	75887
447	61490	75764
448	61648	75653
449	61794	75526
450	61940	75399
451	62084	75270
452	62212	75122
453	62339	74972
454	62470	74827
455	62609	74692
456	62740	74546
457	62873	74404
458	63015	74273
459	63147	74129
460	63276	73982
461	63406	73836
462	63544	73700
463	63680	73562
464	63804	73409
465	63936	73266
466	64061	73115
467	64193	72971
468	64321	72824
469	64452	72680
470	64603	72558
471	64739	72420
472	64871	72277
473	64997	72128
474	65131	71987
475	65263	71844
476	65398	71705
477	65543	71576
478	65683	71442
479	65810	71294
480	65939	71148
481	66066	71001
482	66196	70856
483	66325	70710
484	66458	70569
485	66600	70437
486	66729	70292
487	66863	70151
488	66993	70008
489	67129	69869
490	67257	69723
491	67383	69574
492	67516	69434
493	67661	69305
494	67796	69166
495	67929	69025
496	68057	68879
497	68184	68732
498	68317	68591
499	68449	68449
500	68589	68315
501	68727	68180
502	68871	68050
503	69001	67906
504	69132	67763
505	69261	67619
506	69407	67490
507	69562	67371
508	69727	67261
509	69869	67129
510	70012	66998
511	70147	66858
512	70279	66717
513	70411	66576
514	70545	66435
515	70682	66298
516	70816	66159
517	70941	66011
518	71075	65871
519	71207	65730
520	71339	65588
521	71471	65446
522	71611	65313
523	71743	65171
524	71879	65033
525	72014	64895
526	72139	64747
527	72261	64597
528	72391	64454
529	72529	64318
530	72669	64184
531	72803	64044
532	72938	63907
533	73077	63771
534	73207	63629
535	73331	63481
536	73461	63338
537	73607	63209
538	73739	63068
539	73874	62929
540	74010	62792
541	74140	62650
542	74274	62511
543	74404	62368
544	74540	62231
545	74668	62087
546	74790	61937
547	74919	61795
548	75052	61655
549	75178	61509
550	75310	61369
551	75438	61225
552	75577	61090
553	75706	60947
554	75840	60808
555	75974	60670
556	76122	60543
557	76257	60404
558	76444	60307
559	76659	60232
560	76861	60146
561	77061	60058
562	77235	59949
563	77431	59858
564	77643	59778
565	77844	59690
566	78029	59588
567	78219	59491
568	78389	59377
569	78587	59285
570	78772	59183
571	78962	59083
572	79142	58976
573	79331	58876
574	79524	58779
575	79711	58676
576	79886	58564
577	80073	58462
578	80268	58364
579	80451	58257
580	80653	58164
581	80841	58061
582	81030	57958
583	81208	57847
584	81400	57745
585	81602	57651
586	81791	57546
587	81976	57439
588	82165	57334
589	82359	57232
590	82529	57114
591	82692	56990
592	82853	56865
593	83013	56739
594	83175	56615
595	83327	56484
596	83580	56420
597	83702	56268
598	83832	56121
599	83954	55969
600	84088	55825
601	84217	55678
602	84347	55532
603	84475	55384
604	84620	55248
605	84748	55100
606	84882	54956
607	85007	54807
608	85138	54662
609	85272	54518
610	85400	54371
611	85532	54226
612	85678	54090
613	85807	53943
614	85932	53795
615	86067	53652
616	86200	53508
617	86331	53363
618	86461	53218
619	86603	53079
620	86742	52939
621	86925	52826
622	87052	52678
623	87183	52533
624	87310	52386
625	87443	52242
626	87581	52101
627	87708	51954
628	87847	51814
629	87978	51669
630	88110	51525
631	88240	51380
632	88368	51234
633	88501	51090
634	88635	50948
635	88767	50803
636	88907	50664
637	89034	50517
638	89167	50374
639	89299	50230
640	89427	50084
641	89568	49946
642	89697	49800
643	89821	49652
644	89959	49512
645	90087	49367
646	90217	49221
647	90342	49075
648	90477	48933
649	90621	48796
650	90750	48651
651	90883	48508
652	91023	48369
653	91156	48226
654	91289	48083
655	91414	47936
656	91547	47794
657	91678	47650
658	91814	47509
659	91943	47364
660	92080	47224
661	92211	47080
662	92342	46937
663	92470	46792
664	92608	46652
665	92739	46508
666	92870	46365
667	93008	46225
668	93146	46085
669	93284	45946
670	93416	45803
671	93557	45664
672	93691	45523
673	93815	45376
674	93948	45234
675	94085	45094
676	94217	44951
677	94347	44807
678	94474	44663
679	94612	44523
680	94746	44382
681	94878	44239
682	95009	44096
683	95142	43954
684	95274	43812
685	95403	43668
686	95540	43528
687	95675	43387
688	95805	43244
689	95935	43101
690	96066	42958
691	96203	42818
692	96335	42676
693	96463	42532
694	96605	42395
695	96736	42252
696	96869	42111
697	96999	41968
698	97127	41824
699	97260	41683
700	97385	41538
701	97523	41398
702	97669	41263
703	97815	41126
704	97967	40993
705	98101	40852
706	98233	40710
707	98376	40573
708	98513	40433
709	98644	40291
710	98782	40151
711	98927	40015
712	99068	39877
713	99200	39735
714	99336	39595
715	99469	39454
716	99617	39319
717	99750	39177
718	99887	39037
719	100016	38895
720	100142	38751
721	100268	38607
722	100404	38467
723	100544	38329
724	100665	38183
725	100798	38042
726	100927	37899
727	101063	37760
728	101197	37619
729	101336	37480
730	101481	37343
731	101614	37203
732	101742	37060
733	101869	36917
734	102002	36776
735	102136	36636
736	102269	36495
737	102394	36351
738	102584	36230
739	102734	36096
740	102867	35955
741	103007	35816
742	103144	35677
743	103276	35536
744	103418	35398
745	103559	35260
746	103698	35121
747	103829	34979
748	103960	34838
749	104095	34698
750	104232	34558
751	104365	34418
752	104509	34281
753	104650	34143
754	104788	34004
755	104918	33862
756	105047	33720
757	105181	33580
758	105313	33439
759	105446	33298
760	105583	33159
761	105726	33022
762	105856	32880
763	105989	32740
764	106118	32598
765	106247	32456
766	106382	32317
767	106515	32176
768	106652	32037
769	106796	31900
770	106927	31759
771	107055	31617
772	107186	31476
773	107317	31335
774	107450	31195
775	107593	31057
776	107725	30917
777	107866	30779
778	107997	30638
779	108138	30500
780	108304	30369
781	108451	30233
782	108594	30095
783	108728	29955
784	108859	29814
785	108999	29676
786	109134	29537
787	109268	29397
788	109411	29259
789	109558	29123
790	109697	28984
791	109848	28849
792	109998	28713
793	110141	28575
794	110281	28437
795	110409	28295
796	110548	28157
797	110680	28016
798	110809	27875
799	110933	27733
800	111080	27596
801	111204	27454
802	111349	27317
803	111497	27181
804	111633	27041
805	111762	26900
806	111894	26760
807	112018	26618
808	112166	26481
809	112298	26341
810	112429	26201
811	112570	26063
812	112701	25922
813	112833	25782
814	112964	25642
815	113095	25501
816	113234	25363
817	113372	25224
818	113516	25087
819	113654	24948
820	113781	24807
821	113911	24666
822	114044	24527
823	114170	24385
824	114311	24247
825	114430	24105
826	114574	23967
827	114701	23826
828	114830	23686
829	114963	23546
830	115093	23406
831	115223	23266
832	115370	23129
833	115506	22990
834	115644	22851
835	115771	22711
836	115901	22571
837	116030	22430
838	116158	22290
839	116294	22151
840	116426	22011
841	116569	21874
842	116703	21734
843	116832	21594
844	116965	21455
845	117099	21315
846	117231	21176
847	117357	21035
848	117501	20898
849	117637	20759
850	117762	20618
851	117891	20478
852	118024	20339
853	118160	20200
854	118289	20060
855	118417	19920
856	118573	19785
857	118705	19645
858	118837	19506
859	118966	19366
860	119103	19228
861	119237	19089
862	119366	18949
863	119502	18810
864	119648	18673
865	119781	18534
866	119911	18394
867	120044	18255
868	120179	18116
869	120313	17977
870	120445	17838
871	120600	17702
872	120730	17563
873	120861	17423
874	121052	17293
875	121182	17153
876	121313	17014
877	121452	16876
878	121591	16737
879	121728	16599
880	121856	16459
881	121987	16320
882	122115	16180
883	122246	16041
884	122375	15901
885	122513	15763
886	122648	15624
887	122791	15487
888	122920	15347
889	123052	15208
890	123187	15070
891	123323	14931
892	123446	14791
893	123597	14654
894	123728	14515
895	123872	14378
896	123999	14238
897	124130	14099
898	124260	13960
899	124393	13821
900	124532	13683
901	124668	13544
902	124814	13407
903	124948	13268
904	125080	13130
905	125219	12991
906	125359	12853
907	125510	12716
908	125665	12580
909	125827	12444
910	126050	12314
911	126230	12180
912	126373	12042
913	126511	11903
914	126694	11769
915	126871	11634
916	127024	11497
917	127175	11359
918	127321	11222
919	127475	11084
920	127632	10947
921	127778	10809
922	127921	10671
923	128075	10534
924	128212	10395
925	128363	10257
926	128507	10119
927	128650	9981
928	128786	9842
929	128925	9704
930	129152	9571
931	129290	9433
932	129422	9294
933	129567	9155
934	129701	9016
935	129831	8877
936	129964	8738
937	130096	8599
938	130244	8461
939	130374	8321
940	130516	8183
941	130647	8044
942	130780	7905
943	130916	7766
944	131051	7627
945	131182	7488
946	131326	7349
947	131463	7211
948	131601	7072
949	131730	6933
950	131860	6794
951	131990	6654
952	132121	6515
953	132275	6378
954	132404	6238
955	132541	6100
956	132674	5961
957	132803	5822
958	132934	5683
959	133066	5544
960	133200	5405
961	133362	5267
962	133521	5130
963	133681	4992
964	133829	4853
965	133978	4715
966	134114	4576
967	134249	4438
968	134392	4299
969	134560	4161
970	134702	4023
971	134847	3884
972	134980	3745
973	135117	3606
974	135245	3467
975	135379	3329
976	135574	3191
977	135727	3053
978	135859	2914
979	135994	2775
980	136133	2636
981	136266	2497
982	136403	2358
983	136560	2220
984	136691	2081
985	136823	1942
986	136957	1803
987	137091	1665
988	137227	1526
989	137358	1387
990	137491	1248
991	137659	1110
992	137802	971
993	137951	832
994	138099	693
995	138235	555
996	138367	416
997	138509	277
998	138643	138
999	138787	0
